Date,Open,High,Low,Close,Volume
2020-05-04,2256.38,2326.98,2256.38,2315.99,4865926
2020-05-01,2336.8,2362.44,2258.1901,2286.04,9772605
2020-04-30,2419.84,2475.0,2396.01,2474.0,9534611
2020-04-29,2330.01,2391.89,2310.0,2372.71,4591593
2020-04-28,2372.1,2373.5,2306.0,2314.08,5269446
2020-04-27,2443.2,2444.88,2363.0,2376.0,5645645
2020-04-24,2417.0,2420.4332,2382.0,2410.22,3831797
2020-04-23,2399.98,2424.22,2382.08,2399.45,5066552
2020-04-22,2369.0,2394.0,2351.0,2363.49,4218295
2020-04-21,2416.61,2428.3099,2279.66,2328.12,7476679
2020-04-20,2389.95,2444.98,2386.05,2393.61,5770694
2020-04-17,2372.33,2400.0,2316.02,2375.0,7930010
2020-04-16,2346.0,2460.9981,2335.0,2408.19,12038201
2020-04-15,2257.68,2333.369,2245.0,2307.68,6866567
2020-04-14,2200.47,2292.0,2186.21,2283.32,8087193
2020-04-13,2040.0,2180.0,2038.0,2168.87,6716709
2020-04-09,2044.3,2053.0,2017.66,2042.76,4655617
2020-04-08,2021.0,2044.0,2011.15,2043.0,3977313
2020-04-07,2017.11,2035.72,1997.62,2011.6,5113983
2020-04-06,1936.0,1998.52,1930.02,1997.59,5773181
2020-04-03,1911.15,1926.33,1889.15,1906.59,3609870
2020-04-02,1901.64,1927.5258,1890.0,1918.83,4335985
2020-04-01,1932.97,1944.96,1893.0,1907.7,4121875
2020-03-31,1964.35,1993.02,1944.01,1949.72,5123626
2020-03-30,1922.83,1973.63,1912.34,1963.95,6126087
2020-03-27,1930.86,1939.79,1899.92,1900.1,5387897
2020-03-26,1902.0,1956.49,1889.29,1955.49,6235118
2020-03-25,1920.69,1950.26,1885.78,1885.84,6479073
2020-03-24,1951.495,1955.0,1900.3403,1940.1,7147080
2020-03-23,1827.75,1919.4,1812.0,1902.83,7808489
2020-03-20,1926.31,1957.0,1820.73,1846.09,9817850
2020-03-19,1860.0,1945.0,1832.65,1880.93,10399943
2020-03-18,1750.0,1841.66,1745.0,1830.0,9645218
2020-03-17,1775.47,1857.775,1689.2402,1807.84,10917129
2020-03-16,1641.51,1759.4519,1626.0318,1689.15,8917265
2020-03-13,1755.0,1786.31,1680.62,1785.0,8809725
2020-03-12,1721.98,1765.0,1675.0,1676.61,11346214
2020-03-11,1857.85,1871.3194,1801.5,1820.86,5646831
2020-03-10,1870.88,1894.27,1818.17,1891.82,7133310
2020-03-09,1773.86,1862.77,1761.2901,1800.61,7813232
2020-03-06,1875.0,1910.87,1869.5,1901.09,5273580
2020-03-05,1933.0,1960.72,1910.0,1924.03,4748210
2020-03-04,1946.57,1978.0,1922.0,1975.83,4772919
2020-03-03,1975.37,1996.33,1888.09,1908.99,7534491
2020-03-02,1909.52,1954.51,1870.0,1953.95,6761651
2020-02-28,1814.59,1889.76,1811.13,1883.75,9493797
2020-02-27,1934.38,1975.0,1882.76,1884.3,8143993
2020-02-26,1970.28,2014.67,1960.45,1979.59,5240402
2020-02-25,2026.42,2034.6,1958.42,1972.74,6219094
2020-02-24,2003.18,2039.3,1987.97,2009.29,6546997
2020-02-21,2142.15,2144.55,2088.0,2095.97,4650740
2020-02-20,2173.07,2176.79,2127.45,2153.1,3131342
2020-02-19,2167.8,2185.1,2161.12,2170.22,2561165
2020-02-18,2125.02,2166.07,2124.11,2155.67,2951070
2020-02-14,2155.68,2159.04,2125.89,2134.87,2606169
2020-02-13,2144.99,2170.28,2142.0,2149.87,3031791
2020-02-12,2163.2,2180.25,2155.29,2160.0,3334264
2020-02-11,2150.9,2185.95,2136.0,2150.8,5746011
2020-02-10,2085.01,2135.6,2084.96,2133.91,5056235
2020-02-07,2041.99,2098.53,2038.1,2079.28,5095347
2020-02-06,2041.02,2056.3,2024.8,2050.23,3182954
2020-02-05,2071.02,2071.02,2032.0,2039.87,4376174
2020-02-04,2029.88,2059.8,2015.37,2049.67,5289338
2020-02-03,2010.6,2048.5,2000.25,2004.2,5899094
2020-01-31,2051.47,2055.72,2002.27,2008.72,15567283
2020-01-30,1858.0,1872.87,1850.61,1870.68,6327438
2020-01-29,1864.0,1874.75,1855.02,1858.0,2101390
2020-01-28,1840.5,1858.11,1830.02,1853.25,2808040
2020-01-27,1820.0,1841.0,1815.34,1828.34,3528509
2020-01-24,1891.37,1894.99,1847.44,1861.64,3766181
2020-01-23,1885.11,1889.98,1872.76,1884.58,2484613
2020-01-22,1896.09,1902.5,1883.34,1887.46,3216257
2020-01-21,1865.0,1894.27,1860.0,1892.0,3707785
2020-01-17,1885.89,1886.64,1857.25,1864.72,3997340
2020-01-16,1882.99,1885.59,1866.02,1877.94,2659493
2020-01-15,1872.25,1878.86,1855.09,1862.02,2896592
2020-01-14,1885.88,1887.11,1858.55,1869.44,3446381
2020-01-13,1891.31,1898.0,1880.8,1891.3,2785844
2020-01-10,1905.37,1906.94,1880.0,1883.16,2856959
2020-01-09,1909.89,1917.82,1895.8,1901.05,3174962
2020-01-08,1898.04,1911.0,1886.44,1891.97,3511966
2020-01-07,1904.5,1913.89,1892.04,1906.86,4134010
2020-01-06,1860.0,1903.69,1860.0,1902.88,4065698
2020-01-03,1864.5,1886.2,1864.5,1874.97,3766604
2020-01-02,1875.0,1898.01,1864.15,1898.01,4035910
2019-12-31,1842.0,1853.26,1832.23,1847.84,2510380
2019-12-30,1874.0,1884.0,1840.62,1846.89,3677306
2019-12-27,1882.92,1901.4,1866.01,1869.8,6188754
2019-12-26,1801.01,1870.46,1799.5,1868.77,6024608
2019-12-24,1793.81,1795.57,1787.58,1789.21,881337
2019-12-23,1788.26,1793.0,1784.51,1793.0,2137493
2019-12-20,1799.62,1802.97,1782.45,1786.5,5152460
2019-12-19,1780.5,1792.99,1774.06,1792.28,2738320
2019-12-18,1795.02,1798.2,1782.36,1784.03,3354137
2019-12-17,1778.01,1792.0,1777.39,1790.66,3646697
2019-12-16,1767.0,1769.5,1757.05,1769.21,3149345
2019-12-13,1765.0,1768.99,1755.0,1760.94,2747909
2019-12-12,1750.0,1764.0,1745.44,1760.33,3103949
2019-12-11,1741.67,1750.0,1735.71,1748.72,2101318
2019-12-10,1747.4,1750.67,1735.0,1739.21,2515644
2019-12-09,1750.66,1766.89,1745.61,1749.42,2502489
2019-12-06,1751.2,1754.4,1740.13,1751.6,3119979
2019-12-05,1763.5,1763.5,1740.0,1740.48,2827852
2019-12-04,1774.01,1789.09,1760.22,1760.69,2680700
2019-12-03,1760.0,1772.87,1747.23,1769.96,3529582
2019-12-02,1804.4,1805.55,1762.68,1781.6,3931750
2019-11-29,1817.78,1824.69,1800.79,1800.8,1923440
2019-11-27,1801.0,1824.5,1797.31,1818.51,3023355
2019-11-26,1779.92,1797.03,1778.35,1796.94,3190428
2019-11-25,1753.25,1777.42,1753.24,1773.84,3489467
2019-11-22,1739.02,1746.43,1731.0,1745.72,2479081
2019-11-21,1743.0,1746.87,1730.36,1734.71,2662938
2019-11-20,1749.14,1762.52,1734.12,1745.53,2793759
2019-11-19,1756.99,1760.68,1743.03,1752.79,2274535
2019-11-18,1738.3,1753.7,1722.71,1752.53,2841907
2019-11-15,1760.05,1761.68,1732.86,1739.49,3931141
2019-11-14,1751.43,1766.59,1749.56,1754.6,2269417
2019-11-13,1773.39,1775.0,1747.32,1753.11,2926892
2019-11-12,1774.66,1786.22,1771.91,1778.0,2038925
2019-11-11,1778.0,1780.0,1767.13,1771.65,1947810
2019-11-08,1787.89,1789.88,1774.04,1785.88,2126198
2019-11-07,1803.76,1805.9,1783.48,1788.2,2651086
2019-11-06,1801.0,1802.5,1788.58,1795.77,2029783
2019-11-05,1809.16,1810.25,1794.0,1801.71,1885543
2019-11-04,1801.01,1815.06,1801.01,1804.66,2771922
2019-11-01,1788.01,1797.45,1785.21,1791.44,2790354
2019-10-31,1775.99,1792.0,1771.48,1776.66,2781185
2019-10-30,1760.24,1782.38,1759.12,1779.99,2449405
2019-10-29,1774.81,1777.0,1755.81,1762.71,2276855
2019-10-28,1748.06,1778.7,1742.5,1777.08,3708851
2019-10-25,1697.55,1764.21,1695.0,1761.33,9626402
2019-10-24,1771.09,1788.34,1760.27,1780.78,5204350
2019-10-23,1761.3,1770.05,1742.0,1762.17,2190380
2019-10-22,1788.15,1789.78,1762.0,1765.73,2234425
2019-10-21,1769.66,1785.88,1765.0,1785.66,2224902
2019-10-18,1787.8,1793.98,1749.2,1757.51,3366091
2019-10-17,1796.49,1798.85,1782.02,1787.48,2713773
2019-10-16,1773.33,1786.24,1770.52,1777.43,2804068
2019-10-15,1742.14,1776.45,1740.62,1767.38,3129244
2019-10-14,1728.91,1741.89,1722.0,1736.43,1928898
2019-10-11,1742.92,1745.45,1729.86,1731.92,3279534
2019-10-10,1725.24,1738.29,1713.75,1720.26,2721531
2019-10-09,1719.61,1729.95,1714.36,1721.99,2089335
2019-10-08,1722.49,1727.0,1705.0,1705.51,2626840
2019-10-07,1731.63,1747.83,1723.7,1732.66,2187598
2019-10-04,1726.02,1740.58,1719.23,1739.65,2489277
2019-10-03,1713.0,1725.0,1685.06,1724.42,3624371
2019-10-02,1727.74,1728.89,1705.0,1713.23,3338476
2019-10-01,1746.0,1755.6,1728.41,1735.65,3170460
2019-09-30,1726.99,1737.46,1709.22,1735.91,2760768
2019-09-27,1748.0,1749.12,1713.82,1725.45,3948029
2019-09-26,1762.79,1763.37,1731.5,1739.84,3571952
2019-09-25,1747.36,1773.0,1723.0,1768.33,3531098
2019-09-24,1790.61,1795.71,1735.55,1741.61,4637901
2019-09-23,1777.0,1792.7,1767.32,1785.3,3139142
2019-09-20,1821.71,1830.63,1780.92,1794.16,5555839
2019-09-19,1821.02,1832.57,1817.9,1821.5,2078335
2019-09-18,1817.04,1822.06,1795.5,1817.46,2536012
2019-09-17,1807.08,1823.99,1804.1,1822.55,2033058
2019-09-16,1824.02,1825.69,1800.2,1807.84,3675473
2019-09-13,1842.01,1846.12,1835.17,1839.34,1971317
2019-09-12,1837.63,1853.66,1834.28,1843.55,2823505
2019-09-11,1812.14,1833.42,1809.08,1822.99,2432767
2019-09-10,1822.75,1825.81,1805.34,1820.55,2613879
2019-09-09,1841.0,1850.0,1824.61,1831.35,2999515
2019-09-06,1838.22,1840.65,1826.4,1833.51,2496933
2019-09-05,1821.95,1842.0,1815.58,1840.72,3325189
2019-09-04,1805.0,1807.63,1796.23,1800.62,2326228
2019-09-03,1770.0,1800.8,1768.0,1789.84,3546859
2019-08-30,1797.49,1799.74,1764.57,1776.29,3064147
2019-08-29,1783.0,1798.55,1777.25,1786.4,3018012
2019-08-28,1755.0,1767.86,1744.05,1764.25,2421893
2019-08-27,1775.73,1779.4,1746.68,1761.83,3027245
2019-08-26,1766.91,1770.0,1743.51,1768.87,3085320
2019-08-23,1793.03,1804.9,1745.23,1749.62,5277898
2019-08-22,1828.0,1829.41,1800.1,1805.6,2658388
2019-08-21,1819.39,1829.58,1815.0,1823.54,2039231
2019-08-20,1814.5,1816.82,1799.88,1801.38,1932835
2019-08-19,1818.08,1826.0,1812.61,1816.12,2820303
2019-08-16,1792.89,1802.91,1784.55,1792.57,3054240
2019-08-15,1781.99,1788.0,1761.96,1776.12,3809948
2019-08-14,1793.01,1795.65,1757.22,1762.96,4893649
2019-08-13,1783.0,1831.74,1780.0,1824.34,4075021
2019-08-12,1795.99,1800.98,1777.0,1784.92,2905498
2019-08-09,1828.95,1831.09,1802.22,1807.58,2879770
2019-08-08,1806.0,1834.26,1798.11,1832.89,3701242
2019-08-07,1773.99,1798.93,1757.0,1793.4,4526884
2019-08-06,1787.83,1793.77,1753.4,1787.83,5070258
2019-08-05,1770.22,1788.67,1748.78,1765.13,6058212
2019-08-02,1845.07,1846.36,1808.02,1823.24,4956225
2019-08-01,1871.72,1897.92,1844.01,1855.32,4713311
2019-07-31,1898.11,1899.55,1849.44,1866.78,4470727
2019-07-30,1891.12,1909.89,1883.48,1898.53,2910888
2019-07-29,1930.0,1932.23,1890.54,1912.45,4493190
2019-07-26,1942.0,1950.9,1924.51,1943.05,4927143
2019-07-25,2001.0,2001.2,1972.72,1973.82,4136461
2019-07-24,1969.3,2001.3,1965.87,2000.81,2631300
2019-07-23,1995.99,1997.79,1973.13,1994.49,2703480
2019-07-22,1971.14,1989.0,1958.26,1985.63,2908111
2019-07-19,1991.21,1996.0,1962.23,1964.52,3185612
2019-07-18,1977.9,1987.5,1951.55,1977.9,3504252
2019-07-17,2007.05,2012.0,1992.03,1992.03,2558809
2019-07-16,2010.58,2026.32,2001.22,2009.9,2618198
